GeneCards - GeneCards - Search results for Alzheimer's disease

Copyright LifeMap Sciences Inc. May not be used for any non-academic research purpose without explicit written permission from LifeMap Sciences.

Symbol,Name,Type,Relevance Score,Knowledge
APP,Amyloid Beta Precursor Protein,Protein Coding,479.97104,100
APOE,Apolipoprotein E,Protein Coding,401.57623,100
MAPT,Microtubule Associated Protein Tau,Protein Coding,393.9498,100
PSEN1,Presenilin 1,Protein Coding,392.5025,100
PSEN2,Presenilin 2,Protein Coding,383.6574,100
SNCA,Synuclein Alpha,Protein Coding,339.54022,99
PLAU,"Plasminogen Activator, Urokinase",Protein Coding,274.73004,98
NOS3,Nitric Oxide Synthase 3,Protein Coding,259.64566,100
CLU,Clusterin,Protein Coding,253.3837,90
SORL1,Sortilin Related Receptor 1,Protein Coding,252.8501,88
ABCA7,ATP Binding Cassette Subfamily A Member 7,Protein Coding,250.00305,87
AD5,Alzheimer Disease 5,Genetic Locus,246.43274,38
MPO,Myeloperoxidase,Protein Coding,245.74457,93
ACE,Angiotensin I Converting Enzyme,Protein Coding,245.15425,100
PARK7,Parkinsonism Associated Deglycase,Protein Coding,242.85602,94
CTSD,Cathepsin D,Protein Coding,242.15079,100
SQSTM1,Sequestosome 1,Protein Coding,240.84491,100
HFE,Homeostatic Iron Regulator,Protein Coding,240.18675,97
A2M,Alpha-2-Macroglobulin,Protein Coding,238.71088,89
MT-ND1,Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 1,Protein Coding,233.77216,83
VCP,Valosin Containing Protein,Protein Coding,233.32193,100
PRNP,Prion Protein (Kanno Blood Group),Protein Coding,233.13954,97
SNCB,Synuclein Beta,Protein Coding,231.71124,72
TREM2,Triggering Receptor Expressed On Myeloid Cells 2,Protein Coding,230.6772,89
LRRK2,Leucine Rich Repeat Kinase 2,Protein Coding,229.37506,100
NPC1,NPC Intracellular Cholesterol Transporter 1,Protein Coding,227.58875,99
PIN1,"Peptidylprolyl Cis/Trans Isomerase, NIMA-Interacting 1",Protein Coding,227.00798,85
AD6,Alzheimer Disease 6,Genetic Locus,226.47232,31
GSK3B,Glycogen Synthase Kinase 3 Beta,Protein Coding,224.68805,95
AD10,Alzheimer Disease-10,Genetic Locus,224.34723,34
GBA1,Glucosylceramidase Beta 1,Protein Coding,221.97781,100
AD7,Alzheimer Disease 7,Genetic Locus,220.85796,28
CLN3,"CLN3 Lysosomal/Endosomal Transmembrane Protein, Battenin",Protein Coding,219.71497,91
GRN,Granulin Precursor,Protein Coding,214.73016,94
TNF,Tumor Necrosis Factor,Protein Coding,213.87662,90
TARDBP,TAR DNA Binding Protein,Protein Coding,212.08429,95
ATP7B,ATPase Copper Transporting Beta,Protein Coding,211.73984,97
NPC2,NPC Intracellular Cholesterol Transporter 2,Protein Coding,211.58937,93
HSD17B10,Hydroxysteroid 17-Beta Dehydrogenase 10,Protein Coding,211.57187,96
UCHL1,Ubiquitin C-Terminal Hydrolase L1,Protein Coding,210.94249,94
CSF1R,Colony Stimulating Factor 1 Receptor,Protein Coding,210.70665,100
AD15,Alzheimer Disease-15,Genetic Locus,210.09387,24
PRKN,Parkin RBR E3 Ubiquitin Protein Ligase,Protein Coding,208.23514,100
AD16,Alzheimer Disease 16,Genetic Locus,207.94708,24
PINK1,PTEN Induced Kinase 1,Protein Coding,207.7673,93
AD8,Alzheimer Disease 8,Genetic Locus,207.60089,24
AD12,Alzheimer Disease 12,Genetic Locus,207.03355,32
AD13,Alzheimer Disease-13,Genetic Locus,207.03355,32
AD11,Alzheimer Disease-11,Genetic Locus,207.03355,24
APBB1,Amyloid Beta Precursor Protein Binding Family B Member 1,Protein Coding,206.82599,85
AD14,Alzheimer Disease 14,Genetic Locus,206.12268,24
BACE1,Beta-Secretase 1,Protein Coding,205.27878,87
NAGLU,N-Acetyl-Alpha-Glucosaminidase,Protein Coding,205.05356,96
GBE1,"1,4-Alpha-Glucan Branching Enzyme 1",Protein Coding,203.49396,92
ADAM10,ADAM Metallopeptidase Domain 10,Protein Coding,203.31104,99
